jamaat,jamiat,arabic_jamaat
"MAVLI ",,"ماؤلي "
MIDDLEBURG,,Middleburg
"MITODA ",,ميتودا
"MOHAMMADI MOHALLA (NAGPUR)",,"محمدي محلة (ناككثثور)"
"MOHAMMEDI MOH (MADRAS)",,"محمدي محلة - مدراس"
"MOHAMMEDI MOHALLA (SANAA) - YEMEN",,0
"MOTA DADVA",,"موتا دادوا"
MUBARAKPUR,,مباركثثور
"MUFADDAL MOHALLA (NASIK)",,"مفضل محلة (ناسك)"
"MUNICH ",,"Munich "
"NADIAD ",Ahmedabad,ندياد
"NAMLI ",,ناملي
"NAMPULA (MOZAMBIQUE)",,-
"NIAGARH ",,نياككرٌهـ
"PACHOR ",,"ثثححور "
"PACHORA ",,ثثاححورا
"PAVI JETPUR ",,"ثثاوي جيتثثور"
"PHELI ",,"ثثهِلي "
"PIPALRAWAN ",,"ثثيثثلراون "
"PIPLODA ",,"PIPLODA "
PONTINAK,,ثثونتياناك
QIRAYAAT,,0
"RAISEN ",,رائيسن
"RAJJAH - ASHYAB",,0
"RAOTI ",,راؤتي
"RAVER ",,راوير
"RAWALBHATA ",,"راوت بهاتا "
"SAIFEE BURHANI PARK TRANSIT 3 ",,"سيفي - برهاني محلة (ممبئي) - 3"
"SAIFEE MOHALLA NAIROBI",," سيفي محلة (نيروبي)"
"SAIFEE MOHALLAH (KOLKATA)",," سيفي محلة (كلكته)"
"SALDI ",,سالدي
"SANJET ",,"سنجيت "
"SARASIYA ",,"سرسيا "
SARRAH,,0
"SARSAI ",,سرسائي
"SEVALIYA ",,سيواليا
"SHAARE 45 BAIT ALHAMMASI ",,0
SHAKARYA,,0
"SHEHABI MOHALLA (SURAT)",,"شظظابي  كولوني (سورت)"
STUTTGART,,Stuttgart
SUDARSHAN,Ahmedabad,0
SUDBURY,,سدبري
"SULGAON ",,"سلككاؤطط "
SUNDERGARH,,-
"TAIYEBI MOHALLA (YEMEN)",,0
"UDAIGARH KANAS ",,"   اديككرٌهـ كناس"
"UMM AL QUWAIN",,"أم القيوين"
UTRECT,,Utrect
VOORSCHOUTEN,,Voorschouten
ZAYYAH,,0
